annee;categorie_principale;sous_categorie;nb_commandes_total;nb_clients_total;ca_total_ht;quantite_totale;panier_moyen_ht;age_moyen;anciennete_moyenne_jours;nb_nouveaux_clients;nb_anciens_clients;pourcentage_nouveaux_clients;ca_nouveaux_clients;ca_anciens_clients;panier_moyen_nouveaux;panier_moyen_anciens;taux_reachat_pourcent
2026;Accueil;"MATERIEL PHOTO";1389;1285;1023479.14;2075;736.85;39.7;301;772;552;60.1;639692.71;383786.43;828.62;622.02;45.2
2026;"MATERIEL PHOTO";"APPAREIL PHOTO NUMERIQUE";602;595;909206.05;607;1510.31;37.7;224;445;152;74.8;585725.71;323480.34;1316.24;2060.38;32.3
2026;"APPAREIL PHOTO NUMERIQUE";"APPAREIL PHOTO HYBRIDE";402;399;774647.48;404;1926.98;38.4;245;285;115;71.4;502578.24;272069.24;1763.43;2325.38;38.1
2026;Accueil;OPTIQUE;801;758;591164.45;989;738.03;40.1;316;401;379;52.9;294789.16;296375.29;735.14;740.94;54.0
2026;OPTIQUE;OBJECTIF;510;500;554431.47;548;1087.12;38.1;335;261;246;52.2;277272.70;277158.77;1062.35;1113.09;55.4
2026;OBJECTIF;"OBJECTIF HYBRIDE";500;490;545720.90;537;1091.44;38.2;335;257;240;52.4;272745.29;272975.61;1061.27;1123.36;55.1
2026;Accueil;Promotions;361;353;527301.06;408;1460.67;38.3;353;196;161;55.5;306988.28;220312.78;1566.27;1335.23;52.1
2026;Accueil;OCCASION;233;226;216221.50;240;927.99;42.9;349;135;92;59.7;120911.14;95310.36;895.64;972.55;45.1
2026;OCCASION;"OBJECTIF OCCASION";328;314;212621.02;334;648.23;42.8;332;180;139;57.3;110165.56;102455.46;612.03;692.27;46.8
2026;OCCASION;"APPAREIL PHOTO/VIDEO OCCASION";164;161;206732.60;165;1260.56;39.4;288;111;50;68.9;136023.03;70709.57;1225.43;1334.14;39.8
2026;"OBJECTIF OCCASION";"HYBRIDE OCCASION";303;289;206559.60;312;681.71;42.4;373;157;136;54.3;100466.95;106092.65;639.92;726.66;49.8
2026;"APPAREIL PHOTO/VIDEO OCCASION";"HYBRIDE OCCASION";153;149;203741.37;154;1331.64;38.8;290;105;44;70.5;136147.76;67593.61;1296.65;1408.20;38.3
2026;Accueil;"MATERIEL VIDEO";337;308;189024.48;468;560.90;33.9;449;158;161;51.3;98726.49;90297.99;624.85;504.46;55.2
2026;"APPAREIL PHOTO NUMERIQUE";"APPAREIL PHOTO COMPACT";198;194;131384.39;201;663.56;35.9;177;160;35;82.5;83147.47;48236.92;519.67;1269.39;19.6
2026;"MATERIEL VIDEO";"PRO VIDEO";45;44;105734.87;45;2349.66;36.4;493;23;22;52.3;59022.47;46712.40;2566.19;2123.29;56.8
2026;Accueil;"MATERIEL D'ECLAIRAGE";372;344;63273.09;710;170.09;35.5;407;168;190;48.8;30286.46;32986.63;180.28;161.70;57.3
2026;"PRO VIDEO";"CAMERA CINE";17;17;55385.80;17;3257.99;28.6;409;9;8;52.9;29059.14;26326.66;3228.79;3290.83;47.1
2026;"PRO VIDEO";"CAMERA PRO";23;23;50205.82;23;2182.86;41.3;559;13;10;56.5;29930.83;20274.99;2302.37;2027.50;60.9
2026;"MATERIEL PHOTO";"CARTE MEMOIRE/ACCESSOIRE";291;278;46004.69;374;158.09;38.2;360;145;139;52.2;19905.64;26099.05;137.28;178.76;54.7
2026;Accueil;DRONE;78;78;45109.96;84;578.33;42.9;365;49;29;62.8;26088.73;19021.23;532.42;655.90;41.0
2026;"CARTE MEMOIRE/ACCESSOIRE";"CARTE MEMOIRE";251;246;42204.91;309;168.15;37.9;365;130;118;52.8;18634.37;23570.54;143.34;194.80;54.1
2026;DRONE;DRONE;55;55;40445.63;55;735.38;45.8;344;35;20;63.6;23120.65;17324.98;660.59;866.25;40.0
2026;"OBJECTIF OCCASION";"REFLEX OCCASION";45;43;25231.85;45;560.71;47.3;165;31;14;72.1;15665.03;9566.82;505.32;683.34;32.6
2026;OPTIQUE;FILTRE;230;221;25166.71;288;109.42;42.7;295;111;115;50.2;11134.71;14032.00;100.31;117.92;56.6
2026;"MATERIEL VIDEO";"CAMERA EMBARQUEE/360";69;60;24196.71;79;350.68;35.9;411;32;33;53.3;11203.42;12993.29;350.11;351.17;55.0
2026;Accueil;"NATURE ET OUTDOOR";153;143;21635.52;213;141.41;45.3;277;72;75;50.3;11327.17;10308.35;157.32;127.26;55.2
2026;"MATERIEL PHOTO";SAC/VALISE;159;153;20924.83;171;131.60;39.3;312;86;72;56.2;10862.30;10062.53;126.31;137.84;51.0
2026;"CAMERA EMBARQUEE/360";"CAMERA D'ACTION";50;45;18683.93;50;373.68;36.8;396;22;26;48.9;8415.75;10268.18;382.53;366.72;62.2
